company,date_posted,description,location,source,title,url
,24/01/2026,"Hicha Joy is actively seeking an experienced and committed Purchase Manager.  S/he is responsible for managing the purchasing and procurement process, guaranteeing timely and cost-effective acquisition of goods for Hicha Joy’s...","Hicha Gabes, Gabes, Tunisie",tanitjobs,Purchase Manager,https://www.tanitjobs.com/job/1805020/purchase-manager/?backPage=2&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"Smart Conseil est un éditeur de logiciels innovants , disposant d’un pôle conseil expert en intelligence artificielle, Big Data et technologies émergentes . Nous développons des solutions avancées en...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,assistant chef de projet (CFP001),https://www.tanitjobs.com/job/1977335/assistant-chef-de-projet-cfp001/?backPage=2&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"Smart Conseil  est un éditeur de logiciels, nous offrons à nos clients des solutions dans le domaine de l'intelligence artificielle et la data science ainsi qu'une expertise pour accompagner leur processus...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,chef de projet technique (SRIT01),https://www.tanitjobs.com/job/1977337/chef-de-projet-technique-srit01/?backPage=2&searchID=1769354897.9485
FD Ingénierie & Conseils -,24/01/2026,"Notre bureau d’études, actif sur le marché français, cherche un projeteur en génie civil (débutant – éligible SIVP) Missions principales : Réaliser les plans de coffrage...","La Soukra, Ariana, Tunisie",tanitjobs,Projeteur / dessinateur en génie civil,https://www.tanitjobs.com/job/1977329/projeteur-dessinateur-en-g%C3%A9nie-civil/?backPage=2&searchID=1769354897.9485
STE VITAHERBS -,24/01/2026,Laboratoire spécialisé dans les compléments alimentaires et la dermo_ cosmétique recherche un(e) visiteur pharmaceutique  pour les secteurs cap bon  grand tunis Dynamique et motivé ...,Av farhat hachad,tanitjobs,Visiteur pharmaceutique,https://www.tanitjobs.com/job/1804801/visiteur-pharmaceutique/?backPage=2&searchID=1769354897.9485
Se Domicilier -,24/01/2026,"Lieu : Centre Urbain Nord  Entreprise : Sedomicilier.tn Dans le cadre du développement de ses activités, SeDomicilier.tn recrute un(e) Aide Comptable pour renforcer son équipe administrative et financière....","Centre Urbain Nord, Tunis, Tunisie",tanitjobs,Aide Comptable (H/F),https://www.tanitjobs.com/job/1977313/aide-comptable-h-f/?backPage=2&searchID=1769354897.9485
,24/01/2026,"Assurer la gestion et le suivi des temps de travail, des absences et des congés des collaborateurs, en garantissant la fiabilité des données, le respect des règles internes et des obligations légales Contribuer...","Grombalia, Nabeul, Tunisie",tanitjobs,Chargé Gestion du Temps,https://www.tanitjobs.com/job/1977304/charg%C3%A9-gestion-du-temps/?backPage=2&searchID=1769354897.9485
PRO.F -,24/01/2026,"Dans le cadre du développement de notre coworking space situé à Mutuelleville, nous recrutons une assistante , jeune diplômée en marketing digital , pour assurer la gestion quotidienne de l’espace et...","Mutuelle Ville, Tunis, Tunisie",tanitjobs,Assistante polyvalente – Coworking Space,https://www.tanitjobs.com/job/1977266/assistante-polyvalente-coworking-space/?backPage=2&searchID=1769354897.9485
Allo déchets -,24/01/2026,"Dans le cadre du renforcement de notre équipe a sfax, nous recrutons un(e) Responsable Ressources Humaines . Missions principales :   Définir et mettre en œuvre la politique RH de l’entreprise...","Route de Gabes km 9 Sfax, Sfax, Tunisie",tanitjobs,Responsable RH,https://www.tanitjobs.com/job/1977269/responsable-rh/?backPage=2&searchID=1769354897.9485
HAKIM GROUP -,24/01/2026,"Dans le cadre de notre développement, la société SOTECA ELECTRIC recrute 5 Poste Électriciens – Secteur pétrolier L’électricien assure l’installation, la maintenance et le...","Sfax, Sfax, Tunisie",tanitjobs,Électricien – Secteur pétrolier,https://www.tanitjobs.com/job/1977270/%C3%A9lectricien-secteur-p%C3%A9trolier/?backPage=2&searchID=1769354897.9485
Voicecom -,24/01/2026,Voicecom recrute des téléopérateurs  pour plusieurs activités  on recrute des collaborateurs expérimentés dans les centres d'appels  et des débutants avec un français...,"Tunis, Tunis, Tunisie",tanitjobs,Téléopérateurs avec expérience et des débutants expérimentés francophones,https://www.tanitjobs.com/job/1977282/t%C3%A9l%C3%A9op%C3%A9rateurs-avec-exp%C3%A9rience-et-des-d%C3%A9butants-exp%C3%A9riment%C3%A9s-francophones/?backPage=3&searchID=1769354897.9485
SOGEIM PLAST -,24/01/2026,Réceptionner et contrôler les marchandises Ranger et organiser le stock Gérer les entrées/sorties de stock Préparer les commandes et les expéditions Faire les...,"Route de Gabes Km 4 Sfax, Sfax, Tunisie",tanitjobs,UN MAGASINIER,https://www.tanitjobs.com/job/1977285/un-magasinier/?backPage=3&searchID=1769354897.9485
Limea -,24/01/2026,"Limea recrute pour le compte de son client, une parapharmacie, une Dermo-Conseillère. Missions : - Conseiller et accompagner les clients à distance (site e-commerce, réseaux sociaux, téléphone,...","Ariana, Ariana, Tunisie",tanitjobs,Dermo-Conseillère / Dermo-Conseiller – Parapharmacie,https://www.tanitjobs.com/job/1977287/dermo-conseill%C3%A8re-dermo-conseiller-parapharmacie/?backPage=3&searchID=1769354897.9485
MSB -,24/01/2026,"Société spécialisée en équipements bancaires recrute technicien en électronique, automatisme ou mécatronique. Profil recherché : Technicien ou Technicien Supérieur en...","Le kram, Tunis, Tunisie",tanitjobs,Technicien maintenance,https://www.tanitjobs.com/job/1977288/technicien-maintenance/?backPage=3&searchID=1769354897.9485
Oxygène Technologies -,24/01/2026,"Technologies : PHP / Laravel / Tailwind CSS / MySQL Projet : Plateforme SaaS E-commerce  À propos du projet Nous développons une plateforme SaaS innovante Le projet est réel, ambitieux et...","Sfax, Sfax, Tunisie",tanitjobs,Offre de Stage PFE – Ingénieur(e) Développement Web,https://www.tanitjobs.com/job/1973796/offre-de-stage-pfe-ing%C3%A9nieur-e-d%C3%A9veloppement-web/?backPage=3&searchID=1769354897.9485
Teliora Call Center -,24/01/2026,"Nouvelle saison, nouvelles opportunités ! L’automne s’installe… et si c’était le moment de donner un nouvel élan à votre carrière ? Nous lançons notre campagne de...","Tunis, Tunis, Tunisie",tanitjobs,recrutement des téléopérateurs-télévendeurs,https://www.tanitjobs.com/job/1949255/recrutement-des-t%C3%A9l%C3%A9op%C3%A9rateurs-t%C3%A9l%C3%A9vendeurs/?backPage=3&searchID=1769354897.9485
DPSLASER -,24/01/2026,"DPS laser, Spécialiste de découpe laser, pliage et soudure recrute un technicien plieur. Le plieur a pour objectif de s’assurer du bon fonctionnement des programmes de pliage et de réaliser les opérations de...","Fouchana, Ben Arous, Tunisie",tanitjobs,Plieur,https://www.tanitjobs.com/job/1847972/plieur/?backPage=3&searchID=1769354897.9485
STE AL MAJD -,24/01/2026,"Une Société de commerce  sise à BEKALTA, en pleine croissance,  pour étouffer son équipes de collaborateurs, elle recrute de suite ;  Jeunes cadres,  ambitieux et motivé et...","Monastir, MAHDIA,TEBOULBA,BEKALTA",tanitjobs,Assistante Juridique +Recouvrement+RH,https://www.tanitjobs.com/job/1929598/assistante-juridique-recouvrement-rh/?backPage=3&searchID=1769354897.9485
groupe recyclage -,24/01/2026,"une usine sise a ben arous cherche a recruter un gradien de nuit .   Responsabilités: Assurer la surveillance des lieux et des équipements pendant la nuit. Prévenir et traiter les intrusions, les...","Ben Arous, Ben Arous, Tunisie",tanitjobs,gardien,https://www.tanitjobs.com/job/1925248/gardien/?backPage=3&searchID=1769354897.9485
MultiNationalCompany -,24/01/2026,"Missions principales Rattaché(e) à la Direction Générale, le  Directeur Financier  aura pour mission de piloter la stratégie financière, comptable et fiscale de l’entreprise,...","Bizerte, Bizerte, Tunisie",tanitjobs,Directeur Financier,https://www.tanitjobs.com/job/1977284/directeur-financier/?backPage=3&searchID=1769354897.9485
HAKIM GROUP -,24/01/2026,"Dans le cadre de notre développement, LA SOCETE SOTECA ELECTRIC recherche un  Chef de chantier en électricité de Bâtiment. Missions : Superviser et coordonner les équipes sur le chantier...","Sfax, Sfax, Tunisie",tanitjobs,Chef de chantier en électricité de Bâtiment,https://www.tanitjobs.com/job/1977259/chef-de-chantier-en-%C3%A9lectricit%C3%A9-de-b%C3%A2timent/?backPage=3&searchID=1769354897.9485
Sunshine Services -,24/01/2026,"Agence digitale dynamique spécialisée en création de sites web et applications mobiles sur-mesure, recherche des commerciaux ambitieux pour booster son développement commercial. Vous serez en charge de...","EL Menzah 4, Tunis, Tunisie",tanitjobs,des Commerciaux B2B (Sites Web & Applications Mobiles) à Menzah 5,https://www.tanitjobs.com/job/1977261/des-commerciaux-b2b-sites-web-applications-mobiles-%C3%A0-menzah-5/?backPage=3&searchID=1769354897.9485
ARMCORE -,24/01/2026,"Intitulé du poste : Technicien(ne) de laboratoire électronique Description du poste : Dans le cadre de notre activité, nous recherchons un(e) Technicien(ne) de laboratoire électronique pour rejoindre notre...","Ennasr 2, Ariana, Tunisie",tanitjobs,Technicien(ne) de laboratoire électronique,https://www.tanitjobs.com/job/1977253/technicien-ne-de-laboratoire-%C3%A9lectronique/?backPage=3&searchID=1769354897.9485
MECANICA DIVISION DETAIL -,24/01/2026,Nous recrutons un(e)  Comptable  dynamique et rigoureux(se) pour rejoindre notre équipe. La candidate retenue devra justifier d’une  expérience minimale de 2 ans  dans un poste similaire.  Missions...,"Megrine Saint Gobain, Ben Arous, Tunisie",tanitjobs,COMPTABLE,https://www.tanitjobs.com/job/1977264/comptable/?backPage=3&searchID=1769354897.9485
CLINIQUE DU CENTRE- KSAR HELLAL -,24/01/2026,,"Ksar Hellal, Monastir, Tunisie",tanitjobs,Chauffeur,https://www.tanitjobs.com/job/1968104/chauffeur/?backPage=3&searchID=1769354897.9485
MECANICA DIVISION DETAIL -,24/01/2026,Nous recrutons un(e)  Comptable  dynamique et rigoureux(se) pour rejoindre notre équipe. La candidate retenue devra justifier d’une  expérience minimale de 2 ans  dans un poste similaire....,"Megrine, Ben arous, Tunisie",tanitjobs,COMPTABLE,https://www.tanitjobs.com/job/1967135/comptable/?backPage=3&searchID=1769354897.9485
