company,date_posted,description,location,source,title,url
,28/01/2026,"Notre client, acteur majeur dans le secteur des équipements et solutions intégrées pour l’habitat et les environnements professionnels, recrute  Chef comptable et responsable reporting. ( Poste  basé...",Afrique centrale.,tanitjobs,Chef comptable et responsable reporting.,https://www.tanitjobs.com/job/1978417/chef-comptable-et-responsable-reporting/?backPage=4&searchID=1769677804.9771
,28/01/2026,V ous aimez l’univers sportif et du service ? Rejoignez l’aventure CALLIFORNIA GYM  ! CALIFORNIA GYM le leader des chaines de fitness en Afrique du nord Recherche UN TECHNICIEN MAINTENANCE...,"Centre Urbain Nord, Ariana, Tunisie",tanitjobs,TECHNICIEN MAINTENANCE CALIFORNIA GYM,https://www.tanitjobs.com/job/1978409/technicien-maintenance-california-gym/?backPage=4&searchID=1769677804.9771
CONTACT -,28/01/2026,"Rédaction de cahier des charges Gestion du projet, du planning et de l’équipe projet Suivi et accompagnement de la mise au point sur site Coordination des intervenants. Supervision de la mise en service sur site...","Grombalia, Nabeul, Tunisie",tanitjobs,Chef Projet Injection Plastique,https://www.tanitjobs.com/job/1699637/chef-projet-injection-plastique/?backPage=4&searchID=1769677804.9771
DM TN -,28/01/2026,"Rejoignez DM-TN ! Infographiste – Plans de sécurité incendie Entreprise franco-tunisienne – Poste basé à LAC 1 TUNIS À propos de DM-TN DM-TN est une entreprise innovante,...","Les Berges du Lac 1, Tunis, Tunisie",tanitjobs,Infographiste (H/F),https://www.tanitjobs.com/job/1978397/infographiste-h-f/?backPage=4&searchID=1769677804.9771
Electrocontact Tunisie -,28/01/2026,"La société Electrocontact Tunisie SARL , filiale du groupe allemand Nexans autoelectric , est spécialisée dans le câblage automobile. Avec une taille d’entreprise de 5 001 à 10 000...","Sousse, Sousse, Tunisie",tanitjobs,autoelectric_Production System Manager,https://www.tanitjobs.com/job/1978387/autoelectric_production-system-manager/?backPage=4&searchID=1769677804.9771
DecliTech Innovation -,28/01/2026,"Dans le cadre du développement de nos activités pédagogiques et d'accompagnement, Nous recrutons un(e) psychologue passionné(e) par l’accompagnement des enfants et adolescents. Localisation : Ben Arous ...","Ben Arous, Ben Arous, Tunisie",tanitjobs,Psychologue à Ben Arous,https://www.tanitjobs.com/job/1978390/psychologue-%C3%A0-ben-arous/?backPage=4&searchID=1769677804.9771
semia -,28/01/2026,"Société industrielle, implantée à SFAX AGEREB recherche un concepteur mécanique SOLIDWORKS pour la conception de pièces et structures . Missions principales : Concevoir et...","Sfax, Sfax, Tunisie",tanitjobs,Concepteur Mécanique spécialisé SolidWorks,https://www.tanitjobs.com/job/1978391/concepteur-m%C3%A9canique-sp%C3%A9cialis%C3%A9-solidworks/?backPage=4&searchID=1769677804.9771
Your Team In Tunisia -,28/01/2026,La société Your Team In Tunisia située à Hammamet cherche à recruter un comptable expérimenté en comptabilité canadienne. Le poste est basé à Hammamet avec possibilité...,"Tunis, Tunis, Tunisie",tanitjobs,Un comptable expérimenté en comptabilité canadienne,https://www.tanitjobs.com/job/1978381/un-comptable-exp%C3%A9riment%C3%A9-en-comptabilit%C3%A9-canadienne/?backPage=4&searchID=1769677804.9771
BUSINESS SOLUTIONS -,28/01/2026,"Mission principale Le Superviseur de Production est responsable de l’organisation, du suivi et de l’optimisation de la production. Il veille au respect des objectifs de qualité, de délais, de sécurité...","Monastir, Monastir, Tunisie",tanitjobs,SUPERVISEUR DE PRODUCTION,https://www.tanitjobs.com/job/1978377/superviseur-de-production/?backPage=4&searchID=1769677804.9771
SYBERNETYS -,28/01/2026,"SYBERNETYS est une entreprise spécialisée dans le développement web et mobile, les technologies de l’information et l’intelligence artificielle. Portée par une équipe d’experts...","Rades, Ben Arous, Tunisie",tanitjobs,Chargé(e) DATA / IA / SI,https://www.tanitjobs.com/job/1978330/charg%C3%A9-e-data-ia-si/?backPage=4&searchID=1769677804.9771
